mode,run_idx,time_below_threshold_s,time_until_first_exceed_s,time_after_last_exceed_s,position_rmse_pre_lost_m,yaw_rmse_pre_lost_deg,position_rmse_post_lost_m,yaw_rmse_post_lost_deg
default_02,0,157.21667486600018,157.21667486600018,157.21667486600018,0.2908895222010437,2.3724742450412872,,
default_02,1,121.16667298500033,72.76667046200009,48.15000251099991,0.2646789796134146,2.011405866608467,0.35396370626815193,2.3877379026572596
default_02,2,55.4666695599999,55.4666695599999,0.0,0.16088155732734225,2.9760598733091417,,
default_02,3,72.8666704669995,72.7500037939999,0.0,0.2356165406017894,2.8858106836396464,,
default_02,4,103.83333874599975,65.4666700810003,36.50000190300125,0.1679935419213824,2.431583670281112,0.30577799453157767,2.2431619456546583
default_02,5,67.63333686100032,67.60000352600036,0.0,0.2269874745124766,2.0250475972910804,,
default_02,6,141.43334071000027,80.43333752799981,60.35000314800027,0.26265285774859937,3.466644003919814,0.29850423665048414,3.8338081839845826
default_02,7,66.9000034880005,66.3666701279999,0.11666667200006486,0.17808304306847508,3.181207532004171,0.921650038653501,1.7597162413298253
default_02,8,72.71667045899994,72.71667045899994,0.0,0.17647913741702248,3.4160598179593546,,
default_02,9,68.90000359299938,65.6333367569996,0.0,0.19076466950695425,2.5266887810727328,,
default_02,10,87.3666712230006,86.06667115499931,0.0,0.2924714763512606,3.35304508643237,,
default_02,11,55.68333623600029,46.550002427000436,0.0,0.22094529389166692,4.2861431982382845,,
default_02,12,90.46667138399971,69.51667029200053,19.00000099099998,0.18520530903312188,2.6406474282772985,0.16176708822440675,1.215942170845149
default_02,13,81.70000426199931,64.60000336899975,16.950000884000474,0.18477413180910937,2.5206714161400186,0.28590290193004997,2.327229671916552
default_02,14,76.35000398200009,76.35000398200009,0.0,0.2581938937224418,3.5762616750742233,,
default_02,15,118.7500061949986,81.13333756499924,34.550001802000224,0.194863226764492,2.412864532462017,0.1549965218603757,1.5903885739781125
default_02,16,74.76667056600127,50.05000261100031,0.0,0.19811832861827516,2.6122076658528623,,
default_02,17,102.18333866400008,76.4666706550006,25.416667993000374,0.20856131526635543,2.735840619648604,0.3223810233512086,1.8102656836770301
default_02,18,54.2833361640005,54.25000282900055,0.0,0.21085739318105254,5.256697746816236,,
default_02,19,70.41667034000056,68.01667021400044,0.0,0.21547482711403573,2.5827460091034546,,
default_02,20,85.63333780000357,83.13333766899996,0.0,0.2563021622892517,2.3422569818565453,,
default_02,21,62.150003241999,59.850003120999645,0.0,0.2004144925576076,2.8620186696927146,,
default_02,22,52.35000272900106,51.53333602099974,0.0,0.20255421019915856,2.1222964226626866,,
default_02,23,69.566670295,69.566670295,0.0,0.16809144908625656,2.234729837779076,,
default_02,24,77.36667070200019,77.36667070200019,0.0,0.1817426444363009,2.235249954983651,,
default_02,25,79.46667081100077,74.5000038850003,0.0,0.25645370589384925,2.9617892112010624,,
default_02,26,100.83333859300001,100.83333859300001,0.0,0.3256320277818543,2.5471486926738005,,
default_02,27,85.23333777900007,85.23333777900007,0.0,0.1864429854272805,2.6394955812311665,,
default_02,28,62.8833366129993,62.8833366129993,0.0,0.1704370543690964,2.0961934309929084,,
default_02,29,77.38333737000085,63.01666995300002,10.40000054200027,0.1887759887480315,1.9978907712241067,0.21343360361480107,1.5106045301136866
default_001,0,61.000003182,60.78333650400009,0.0,0.26069247396693246,3.8259010297734584,,
default_001,1,46.70000243499999,46.70000243499999,0.0,0.23641954460379072,4.091432703396929,,
default_001,2,117.30000611799869,79.71667082399972,0.0,0.4458942678004587,4.559391572936292,,
default_001,3,157.21667486599972,157.21667486599972,157.21667486599972,0.3130033424611109,3.571977254391591,,
default_001,4,26.233334701000786,8.816667127000073,0.0,0.7193976398193794,6.314031852714148,,
default_001,5,157.20000819899997,157.20000819899997,157.20000819899997,0.32845478586908966,2.8855655214261766,,
default_001,6,142.00000740700125,88.48333794799964,0.0,0.3073332165684198,3.4374007109838325,,
default_001,7,65.56667008399882,61.500003206999736,0.0,0.31931195691135367,4.562035293886009,,
default_001,8,83.71667103199934,82.85000432100014,0.0,0.3979366649699661,3.5741929528171323,,
default_001,9,80.86667088399963,80.78333754599998,0.0,0.2377407544413097,3.627386519127311,,
default_001,10,126.23333991300024,84.966671098,38.16666865699972,0.2265296739451959,2.3588518254774966,0.45627964640826507,2.009802292744924
default_001,11,69.46667029200125,66.86667015400053,0.0,0.2123125072251452,2.012873180551487,,
default_001,12,133.0166736050005,82.50000430300042,50.25000262100002,0.20236536555353582,3.04931666927549,0.24273543547030296,1.6111866116827631
default_001,13,92.11667147099979,77.58333737999965,14.366667416000382,0.1854490542690373,3.0811561655609676,0.4107896306491915,3.4615195092039808
default_001,14,83.4833376860006,83.15000433600017,0.0,0.3000689261584759,2.7374764473157978,,
default_001,15,93.366671537,93.366671537,0.0,0.23999845216149682,3.125323535512442,,
default_001,16,157.20000819899997,157.20000819899997,157.20000819899997,0.1920728396830475,2.2046529133284314,,
default_001,17,78.7000041049996,78.63333743400017,0.0,0.21803029103750302,2.2245912832246395,,
default_001,18,74.55000388799999,74.45000388300014,0.0,0.21684271276078634,3.261414418119964,,
default_001,19,80.2500041860003,80.2500041860003,0.0,0.2276281454391218,2.5837525402652437,,
default_001,20,95.5000049820037,85.60000446399954,0.0,0.23322794314112108,2.751528440923881,,
default_001,21,157.20000819799952,157.20000819799952,157.20000819799952,0.2749197053734582,3.1582063923514285,,
default_001,22,56.533336282000164,56.533336282000164,0.0,0.17020551594111347,3.3722440692302698,,
default_001,23,142.51667410100004,80.28333752100002,61.900003228,0.22956435320132612,2.86704511180778,0.18819322314845466,2.2136348214211714
default_001,24,86.30000450199987,86.1500044939994,0.0,0.2003412940526951,2.018486840487283,,
default_001,25,71.58333706699977,71.58333706699977,0.0,0.2040482943987317,2.833515352414926,,
default_001,26,157.21667486599927,157.21667486599927,157.21667486599927,0.260286748727379,2.2379071749912836,,
default_001,27,96.10000501299965,86.31667116900007,0.0,0.1486466777191782,2.754642910504197,,
default_001,28,157.20000819799952,157.20000819799952,157.20000819799952,0.3181385946433459,2.2816475683986672,,
default_001,29,148.51667441300015,82.0666709469997,66.3166701250002,0.24288485350102668,4.1002675655978615,0.3903743623237164,2.808124201259065
tuning,0,157.21667486600018,157.21667486600018,157.21667486600018,0.24868525845709297,2.421380343280581,,
tuning,1,118.35000617399874,73.33333715799972,44.2666689749999,0.21555805100314093,2.2624178804631385,0.356749581173995,2.1943408763766774
tuning,2,105.41667216400083,78.20000407800035,25.566667999999936,0.23375249684279928,3.7586998731502774,0.39978783381283095,2.087799479161176
tuning,3,128.10000667999975,73.6333371730002,53.483336121999855,0.20191298391150128,2.495371444715985,0.28945792987061963,2.0542288984296033
tuning,4,69.75000363799973,69.75000363799973,0.0,0.19015290351308448,2.583638762014296,,
tuning,5,146.21667429299941,84.48333774000002,52.13333605199978,0.26652422626850514,2.969750392903937,0.17819689921050547,1.7498832948782268
tuning,6,80.60000420400002,80.50000419799971,0.0,0.21174956718619364,2.583008538589525,,
tuning,7,157.20000819799998,157.20000819799998,157.20000819799998,0.17090583821775354,2.342519541436818,,
tuning,8,155.96667480099995,80.98333755700014,74.98333724399981,0.1689257348609512,2.009527696872654,0.12449580168548298,1.9552798057660916
tuning,9,72.26667043599991,71.45000372699997,0.0,0.15732265060134318,2.051814457198947,,
tuning,10,133.2500069510006,82.16667095199955,50.71666931100026,0.21911479747061413,2.5601895504055086,0.1752281773153588,1.895036753976699
tuning,11,64.03333667300012,64.03333667300012,0.0,0.20208349926431132,2.1903890347852455,,
tuning,12,95.8500049989998,95.8500049989998,0.0,0.22660106120648707,3.129164280880838,,
tuning,13,69.56667029500022,69.56667029500022,0.0,0.13375331595610082,1.77493533123475,,
tuning,14,82.80000431799999,82.53333763800038,0.0,0.32918341661464545,3.7741887226402784,,
tuning,15,121.45000633500058,93.06667152099999,28.200001471000178,0.18220134509253194,2.5222298378102517,0.35575992013403424,1.9221502079380497
tuning,16,157.20000819899997,157.20000819899997,157.20000819899997,0.2452164182254028,1.8942695404378467,,
tuning,17,98.33333845999914,78.23333741299939,19.733334362999813,0.22324275373571453,2.7395069233682428,0.390744781200413,2.22176452121068
tuning,18,71.13333704199977,53.633336130000316,15.300000797999928,0.15822596155755922,3.7412173510321987,0.30887143866935957,0.9426965821837563
tuning,19,72.53333711699997,72.50000378200002,0.0,0.2399223140983323,2.1940130140934655,,
tuning,20,95.56667165300132,84.36667106699952,0.0,0.2141878031581876,2.2966344681288633,,
tuning,21,151.53334123499917,89.45000466499914,61.7500032199996,0.260974342508414,2.391180724218634,0.1830658408010999,1.5641858364307126
tuning,22,54.716669519999414,53.433336119999694,0.0,0.1804501284007067,2.1094488140814347,,
tuning,23,147.100007673,81.71667092900003,63.96667000299999,0.15823324484893567,1.8724809020716393,0.15933411893514124,2.3699106176010263
tuning,24,152.18334127100024,94.35000492099971,57.833336350000536,0.19419610916012356,2.2204456229135325,0.21528574158429917,3.4518830241716043
tuning,25,98.33333845900052,74.25000387199998,21.9166678090005,0.21634830292513466,2.240310330792149,0.22993139800713094,1.9038428294628582
tuning,26,157.20000819899997,157.20000819899997,157.20000819899997,0.24901568655483597,1.9128385506903223,,
tuning,27,157.20000819899997,157.20000819899997,157.20000819899997,0.2297488197435645,1.8117673814612187,,
tuning,28,157.20000819799952,157.20000819799952,157.20000819799952,0.25939774488516787,1.9228295525701709,,
tuning,29,87.63333790300021,72.0333370899998,15.100000787000681,0.15424436408756229,1.6577784688324604,0.45568943879647983,1.346549176887826
